Timestamp,User,Ticker,StockName,Action,Confidence,Backtest_ROI
2026-01-31 22:51:45,skychen.,2330.TW,台積電,BUY (Speculative),0.7,200.45
2026-01-31 22:53:49,skychen.,3141.TWO,晶宏,HOLD / WATCH,0.5,-13.2
2026-01-31 22:55:30,skychen.,2313.TW,華通,BUY ON PULLBACK,0.7,263.16
2026-01-31 22:56:42,skychen.,3491.TWO,昇達科,AVOID / WAIT,0.0,776.59
2026-01-31 22:58:17,skychen.,2324.TW,仁寶,STRONG BUY,1,88.31
2026-01-31 23:06:03,skychen.,2330.TW,台積電,BUY (Speculative),0.7,200.45
2026-01-31 23:10:41,skychen.,0050.TW,元大台灣50,BUY ON PULLBACK,1,145.67
2026-01-31 23:13:24,skychen.,2330.TW,台積電,BUY (Speculative),0.7,200.45
2026-01-31 23:14:38,skychen.,2324.TW,仁寶,STRONG BUY,1,88.31
2026-01-31 23:15:46,skychen.,1605.TW,華新,BUY ON PULLBACK,0.9,40.48
2026-01-31 23:18:17,skychen.,3491.TWO,昇達科,AVOID / WAIT,0.0,776.59
2026-01-31 23:18:55,skychen.,2367.TW,燿華,AVOID / WAIT,0.0,144.33
2026-01-31 23:19:59,skychen.,0056.TW,元大高股息,STRONG BUY,1,89.97
2026-01-31 23:21:09,skychen.,LRCX,LRCX,STRONG BUY,0.9,N/A
2026-01-31 23:22:09,skychen.,SPAX.PVT,SPAX.PVT,BUY,0.6,N/A
2026-01-31 23:33:07,skychen.,2330.TW,台積電,BUY (Speculative),0.7,200.45
2026-01-31 23:34:56,skychen.,1605.TW,華新,BUY ON PULLBACK,0.9,40.48
2026-01-31 23:37:42,skychen.,2331.TW,精英,STRONG BUY,1,75.15
2026-01-31 23:43:03,skychen.,6217.TWO,中探針,STRONG BUY,0.9,38.36
2026-01-31 23:44:00,he_sunny,00919.TW,群益台灣精選高息,STRONG BUY,1,60.89
2026-01-31 23:46:11,he_sunny,2646.TW,星宇航空,SELL,0.2,0.0
2026-01-31 23:52:25,he_sunny,6469.TWO,大樹,BUY,0.6,145.17
2026-01-31 23:53:48,skychen.,6469.TWO,大樹,BUY,0.6,145.17
